name,price,desc
Graphic Sweatshirt,34.99,A comfortable sweatshirt featuring a bold graphic print.
Multi-Purpose Plant Care Tool,24.99,"All-in-one tool for measuring soil moisture, light, and pH."
Portable Dog Water Bottle,18.99,Convenient water bottle for pets on the go.
Spicy Kimchi,4.79,"Traditional Korean fermented vegetables, packed with flavor."
Handmade Soap Making Kit,34.99,Complete kit for crafting your own scented soaps.
Graphic Print Leggings,29.99,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear."
Magnetic Phone Case,19.99,Stylish case with magnetic closure for smartphones.
Wrap Jumpsuit,54.99,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.
Organic Coconut Water,2.79,Refreshing coconut water packed with electrolytes for hydration.
High-Low Hem Tee,22.99,"Trendy high-low tee with a relaxed fit, ideal for weekends."
Magnetic Phone Car Mount,14.99,Strong magnetic holder for smartphones in cars.
Coloring Books for Adults,14.99,Intricate designs for adults to relax and unwind.
Garam Masala Spice Blend,2.79,A fragrant Indian spice blend for curries and stews.
Paprika,1.79,Rich and sweet paprika spice for seasoning.
Wireless Charger,24.99,Qi-certified wireless charger for fast charging.
Yoga Blocks,29.99,Set of two yoga blocks for increased stability and support.
Vegetable Stir-Fry Sauce,3.49,Savory sauce for vegetable and meat stir-fries.
Quinoa and Kale Salad Kit,5.29,"Ready-to-eat salad with quinoa and kale, drizzled with vinaigrette."
Adjustable Laptop Desk,59.99,Portable desk that can be adjusted for sitting or standing.
Cabbage,1.29,"Fresh green cabbage, great for salads and slaws."
Weighted Blanket,79.99,Therapeutic weighted blanket for better sleep.
Buffalo Chicken Dip,5.99,"Spicy and creamy dip made with shredded chicken, perfect for parties."
Travel Document Organizer,15.99,"Organize travel documents, passport, and cards."
Chocolate Almond Milk,2.79,Rich and creamy almond milk with a hint of chocolate.
Grapes (red),3.49,"Fresh seedless red grapes, perfect for snacking."
Peanut Butter Cookies,3.49,Soft and chewy cookies made with creamy peanut butter.
Outdoor Adventure Backpack,59.99,Durable backpack for hiking or travel.
Fitness Resistance Bands Set,34.99,Variety of bands suitable for all fitness levels.
Outdoor Adventure Kit,89.99,Complete outdoor kit for camping and hiking.
Organic Whole Grain Oats,2.49,Whole grain oats that are perfect for breakfast or baking.
Smart LED Desk Lamp,39.99,Adjustable lamp with multiple brightness levels and colors.
Basmati Rice,5.79,"Aromatic long-grain basmati rice, perfect for curries."
Smart Home Hub,99.99,Connect and control smart devices from one app.
Vegan chocolate chip cookies,4.79,"Delicious soft cookies, dairy-free and egg-free, perfect for treats."
Plant-Based Protein Bars,19.99,Nutritious protein bars for on-the-go snacking.
Cacao Nibs,6.49,"Crunchy cacao nibs, great for adding to smoothies or baking."
Sweet Corn Fritters,4.49,Golden-brown fritters made with sweet corn.
Sweet Corn,1.5,"Tender sweet corn kernels, ready to eat or add to dishes."
Luxury Rolling Makeup Case,99.99,Stylish and spacious case for makeup and beauty products.
Arcade Game Machine,299.99,Retro arcade machine for classic gaming.
Sriracha Sauce,3.19,Spicy chili sauce for an extra kick in your meals.
Luxury Memory Foam Mattress Topper,129.99,Adds extra comfort to your mattress for a better night's sleep.
Canned Black Beans,1.29,"Delicious and hearty black beans, great for soups or salads."
Electric Milk Frother,19.99,Handheld frother for creating frothed milk for coffee.
Travel Yoga Mat,34.99,Lightweight yoga mat for practicing on the go.
Bike Repair Tool Kit,29.99,Essential tools for bike maintenance and repair.
Wooden Toy Train Set,29.99,Classic wooden train set for imaginative play.
Collapsible Camping Cup,9.99,Space-saving cup that folds flat for easy storage.
Heavy Duty Gardening Tool Set,49.99,Comprehensive tool set for gardening enthusiasts.
Baby Safety Corner Guards,9.99,Soft corner protectors to keep babies safe at home.
Wireless Gaming Headset,89.99,Comfortable headset with surround sound for immersive gaming.
Collapsible Colander,14.99,Space-saving colander for rinsing fruits and vegetables.
Chocolate Chip Pancake Mix,3.99,Easy-to-make pancake mix with chocolate chips included.
Maple Breakfast Sausage,5.99,Savory sausage links with a hint of maple flavor.
Home Brewing Starter Kit,79.99,All-in-one kit for brewing beer at home.
Buffalo Style Cauliflower Bites,5.49,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer."
Classic Black Trousers,54.99,Timeless black trousers for a smart and sophisticated look.
Chili Beans in Sauce,1.79,Canned beans cooked in a savory chili sauce
Ginger Snaps,2.79,Spicy ginger cookies that are crunchy and delicious.
Coconut Almond Granola,4.99,"Crunchy granola made with oats, almonds, and coconut flakes."
Peach Fruit Cups,1.99,"Juicy peach slices in light syrup, in convenient cups."
Customizable Name Plate,19.99,Personalized nameplate for offices or homes.
Summer Tank Dress,39.99,"A lightweight tank dress, ideal for warm weather outings."
Faux Leather Leggings,49.99,Stylish faux leather leggings for a trendy outfit.
Fishing Rod,49.99,Lightweight fishing rod suitable for beginners.
Adjustable Garden Rake,22.99,Heavy-duty rake with adjustable width for different gardening needs.
Wall Art Stickers,19.99,Removable wall art stickers for home decoration.
Rechargeable Electric Toothbrush,49.99,Advanced electric toothbrush for effective cleaning.
Dual Function Electric Skillet,59.99,"Skillet that can fry, grill, and sauté with ease."
Savory Rice Cakes,2.5,"Lightly salted rice cakes, perfect for a healthy snack."
Wooden Kitchen Utensil Set,19.99,Eco-friendly utensil set made from natural wood.
